cmd,returncode,wall_time_sec,cpu_time_sec,peak_memory_bytes,timestamp
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.1083059310913086,0.0,4890624,2025-11-12T23:09:48.250871
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10862874984741211,0.0,4943872,2025-11-12T23:09:48.796435
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.1077265739440918,0.0,4894720,2025-11-12T23:09:49.339370
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10874223709106445,0.0,5058560,2025-11-12T23:09:49.884241
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10864925384521484,0.0,4894720,2025-11-12T23:09:50.438648
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10820722579956055,0.0,4894720,2025-11-12T23:09:50.981973
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.05779004096984863,0.0,2260992,2025-11-12T23:09:51.640682
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10845088958740234,0.0,4894720,2025-11-12T23:09:52.239848
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10831761360168457,0.0,4894720,2025-11-12T23:09:52.791012
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.11022210121154785,0.0,4894720,2025-11-12T23:09:53.350056
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.1085813045501709,0.0,4890624,2025-11-12T23:09:53.909162
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10832047462463379,0.015625,4890624,2025-11-12T23:09:54.450021
